full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version
Enes Kanter,80,#11,Boston Celtics,C,05/20/92,6-10 / 2.08,262 lbs. / 118.8 kg.,$4767000,Turkey,2011,1,3,,NBA2k20
Otto Porter,80,#22,Chicago Bulls,F,06/03/93,6-8 / 2.03,198 lbs. / 89.8 kg.,$27250576,USA,2013,1,2,Georgetown,NBA2k20
JJ Redick,80,#4,New Orleans Pelicans,G,06/24/84,6-3 / 1.91,190 lbs. / 86.2 kg.,$13486300,USA,2006,1,11,Duke,NBA2k20
Josh Richardson,80,#0,Philadelphia 76ers,G,09/15/93,6-5 / 1.96,200 lbs. / 90.7 kg.,$10116576,USA,2015,2,40,Tennessee,NBA2k20
TJ Warren,80,#1,Indiana Pacers,F,09/05/93,6-8 / 2.03,220 lbs. / 99.8 kg.,$11060000,USA,2014,1,14,NC State,NBA2k20
Ja Morant,79,#12,Memphis Grizzlies,G,08/10/99,6-3 / 1.91,174 lbs. / 78.9 kg.,$8730240,USA,2019,1,2,Murray State,NBA2k20
Bam Adebayo,79,#13,Miami Heat,F-C,07/18/97,6-9 / 2.06,243 lbs. / 110.2 kg.,$3454080,USA,2017,1,14,Kentucky,NBA2k20
Jarrett Allen,79,#31,Brooklyn Nets,C,04/20/98,6-11 / 2.11,234 lbs. / 106.1 kg.,$2376840,USA,2017,1,22,Texas,NBA2k20
Lonzo Ball,79,#2,New Orleans Pelicans,G,10/27/97,6-6 / 1.98,190 lbs. / 86.2 kg.,$8719320,USA,2017,1,2,UCLA,NBA2k20
Harrison Barnes,79,#40,Sacramento Kings,F,05/30/92,6-8 / 2.03,210 lbs. / 95.3 kg.,$24147727,USA,2012,1,7,North Carolina,NBA2k20
Patrick Beverley,79,#21,Los Angeles Clippers,G,07/12/88,6-1 / 1.85,180 lbs. / 81.6 kg.,$12345680,USA,2009,2,42,Arkansas,NBA2k20
Jaylen Brown,79,#7,Boston Celtics,F,10/24/96,6-6 / 1.98,223 lbs. / 101.2 kg.,$6534829,USA,2016,1,3,California,NBA2k20
Willie Cauley-Stein,79,#0,Dallas Mavericks,C,08/18/93,7-0 / 2.13,242 lbs. / 109.8 kg.,$2177483,USA,2015,1,6,Kentucky,NBA2k20
Goran Dragic,79,#7,Miami Heat,G,05/06/86,6-3 / 1.91,190 lbs. / 86.2 kg.,$19217900,Slovenia,2008,2,45,,NBA2k20
